province,district,subdistrict,zipcode,latitude,longitude
กรุงเทพมหานคร,พระนคร,พระบรมมหาราชวัง,10200,13.751,100.492
กรุงเทพมหานคร,พระนคร,วังบูรพาภิรมย์,10200,13.744,100.499
กรุงเทพมหานคร,พระนคร,วัดราชบพิธ,10200,13.750,100.499
กรุงเทพมหานคร,พระนคร,สำราญราษฎร์,10200,13.751,100.503
กรุงเทพมหานคร,พระนคร,ศาลเจ้าพ่อเสือ,10200,13.754,100.497
กรุงเทพมหานคร,พระนคร,เสาชิงช้า,10200,13.753,100.500
กรุงเทพมหานคร,พระนคร,บวรนิเวศ,10200,13.757,100.501
กรุงเทพมหานคร,พระนคร,ตลาดยอด,10200,13.760,100.498
กรุงเทพมหานคร,พระนคร,ชนะสงคราม,10200,13.762,100.495
กรุงเทพมหานคร,พระนคร,บ้านพานถม,10200,13.762,100.503
กรุงเทพมหานคร,พระนคร,บางขุนพรหม,10200,13.765,100.505
กรุงเทพมหานคร,พระนคร,วัดสามพระยา,10200,13.768,100.499
กรุงเทพมหานคร,ดุสิต,ดุสิต,10300,13.772,100.513
กรุงเทพมหานคร,ดุสิต,วชิรพยาบาล,10300,13.778,100.505
กรุงเทพมหานคร,ดุสิต,สวนจิตรลดา,10300,13.767,100.520
กรุงเทพมหานคร,ดุสิต,สี่แยกมหานาค,10300,13.758,100.517
กรุงเทพมหานคร,ดุสิต,ถนนนครไชยศรี,10300,13.789,100.522
กรุงเทพมหานคร,หนองจอก,กระทุ่มราย,10530,13.823,100.897
กรุงเทพมหานคร,หนองจอก,หนองจอก,10530,13.869,100.885
กรุงเทพมหานคร,หนองจอก,คลองสิบ,10530,13.914,100.820
กรุงเทพมหานคร,หนองจอก,คลองสิบสอง,10530,13.914,100.880
กรุงเทพมหานคร,หนองจอก,โคกแฝด,10530,13.840,100.836
กรุงเทพมหานคร,หนองจอก,คู้ฝั่งเหนือ,10530,13.872,100.810
กรุงเทพมหานคร,หนองจอก,ลำผักชี,10530,13.797,100.844
กรุงเทพมหานคร,หนองจอก,ลำต้อยติ่ง,10530,13.781,100.877
กรุงเทพมหานคร,บางรัก,มหาพฤฒาราม,10500,13.734,100.520
กรุงเทพมหานคร,บางรัก,สีลม,10500,13.730,100.525
กรุงเทพมหานคร,บางรัก,สุริยวงศ์,10500,13.724,100.530
กรุงเทพมหานคร,บางรัก,บางรัก,10500,13.727,100.527
กรุงเทพมหานคร,บางรัก,สี่พระยา,10500,13.725,100.514
กรุงเทพมหานคร,บางเขน,อนุสาวรีย์,10220,13.868,100.606
กรุงเทพมหานคร,บางเขน,ท่าแร้ง,10220,13.866,100.650
กรุงเทพมหานคร,บางกะปิ,คลองจั่น,10240,13.786,100.635
กรุงเทพมหานคร,บางกะปิ,หัวหมาก,10240,13.756,100.660
กรุงเทพมหานคร,ปทุมวัน,รองเมือง,10330,13.744,100.520
กรุงเทพมหานคร,ปทุมวัน,วังใหม่,10330,13.742,100.526
กรุงเทพมหานคร,ปทุมวัน,ปทุมวัน,10330,13.740,100.535
กรุงเทพมหานคร,ปทุมวัน,ลุมพินี,10330,13.736,100.546
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,ป้อมปราบ,10100,13.743,100.514
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,วัดเทพศิรินทร์,10100,13.749,100.512
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,คลองมหานาค,10100,13.753,100.513
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,บ้านบาตร,10100,13.752,100.507
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,วัดโสมนัส,10100,13.759,100.511
กรุงเทพมหานคร,พระโขนง,บางจาก,10260,13.692,100.626
กรุงเทพมหานคร,มีนบุรี,มีนบุรี,10510,13.804,100.723
กรุงเทพมหานคร,มีนบุรี,แสนแสบ,10510,13.812,100.774
กรุงเทพมหานคร,ลาดกระบัง,ลาดกระบัง,10520,13.723,100.771
กรุงเทพมหานคร,ลาดกระบัง,คลองสองต้นนุ่น,10520,13.753,100.723
กรุงเทพมหานคร,ลาดกระบัง,คลองสามประเวศ,10520,13.753,100.754
กรุงเทพมหานคร,ลาดกระบัง,ลำปลาทิว,10520,13.765,100.817
กรุงเทพมหานคร,ลาดกระบัง,ทับยาว,10520,13.728,100.815
กรุงเทพมหานคร,ลาดกระบัง,ขุมทอง,10520,13.736,100.855
กรุงเทพมหานคร,ยานนาวา,ช่องนนทรี,10120,13.682,100.533
กรุงเทพมหานคร,ยานนาวา,บางโพงพาง,10120,13.697,100.544
กรุงเทพมหานคร,สัมพันธวงศ์,จักรวรรดิ,10100,13.741,100.504
กรุงเทพมหานคร,สัมพันธวงศ์,สัมพันธวงศ์,10100,13.739,100.511
กรุงเทพมหานคร,สัมพันธวงศ์,ตลาดน้อย,10100,13.734,100.513
กรุงเทพมหานคร,พญาไท,สามเสนใน,10400,13.782,100.545
กรุงเทพมหานคร,ธนบุรี,วัดกัลยาณ์,10600,13.737,100.493
กรุงเทพมหานคร,ธนบุรี,หิรัญรูจี,10600,13.731,100.490
กรุงเทพมหานคร,ธนบุรี,บางยี่เรือ,10600,13.720,100.482
กรุงเทพมหานคร,ธนบุรี,บุคคโล,10600,13.707,100.486
กรุงเทพมหานคร,ธนบุรี,ตลาดพลู,10600,13.715,100.473
กรุงเทพมหานคร,ธนบุรี,ดาวคะนอง,10600,null,null
กรุงเทพมหานคร,ธนบุรี,สำเหร่,10600,null,null
กรุงเทพมหานคร,บางกอกใหญ่,วัดอรุณ,10600,13.743,100.486
กรุงเทพมหานคร,บางกอกใหญ่,วัดท่าพระ,10600,13.733,100.475
กรุงเทพมหานคร,ห้วยขวาง,ห้วยขวาง,10310,13.769,100.577
กรุงเทพมหานคร,ห้วยขวาง,บางกะปิ,10310,13.752,100.586
กรุงเทพมหานคร,ห้วยขวาง,สามเสนนอก,10310,13.796,100.579
กรุงเทพมหานคร,คลองสาน,สมเด็จเจ้าพระยา,10600,13.731,100.497
กรุงเทพมหานคร,คลองสาน,คลองสาน,10600,13.735,100.504
กรุงเทพมหานคร,คลองสาน,บางลำภูล่าง,10600,13.715,100.501
กรุงเทพมหานคร,คลองสาน,คลองต้นไทร,10600,13.725,100.508
กรุงเทพมหานคร,ตลิ่งชัน,คลองชักพระ,10170,13.760,100.456
กรุงเทพมหานคร,ตลิ่งชัน,ตลิ่งชัน,10170,13.789,100.459
กรุงเทพมหานคร,ตลิ่งชัน,ฉิมพลี,10170,13.786,100.432
กรุงเทพมหานคร,ตลิ่งชัน,บางพรม,10170,13.752,100.442
กรุงเทพมหานคร,ตลิ่งชัน,บางระมาด,10170,13.767,100.431
กรุงเทพมหานคร,ตลิ่งชัน,บางเชือกหนัง,10170,13.751,100.419
กรุงเทพมหานคร,บางกอกน้อย,ศิริราช,10700,13.759,100.481
กรุงเทพมหานคร,บางกอกน้อย,บ้านช่างหล่อ,10700,13.752,100.477
กรุงเทพมหานคร,บางกอกน้อย,บางขุนนนท์,10700,13.774,100.466
กรุงเทพมหานคร,บางกอกน้อย,บางขุนศรี,10700,13.760,100.463
กรุงเทพมหานคร,บางกอกน้อย,อรุณอมรินทร์,10700,13.772,100.477
กรุงเทพมหานคร,บางขุนเทียน,ท่าข้าม,10150,13.555,100.434
กรุงเทพมหานคร,บางขุนเทียน,แสมดำ,10150,13.605,100.395
กรุงเทพมหานคร,ภาษีเจริญ,บางหว้า,10160,13.714,100.443
กรุงเทพมหานคร,ภาษีเจริญ,บางด้วน,10160,13.723,100.437
กรุงเทพมหานคร,ภาษีเจริญ,บางจาก,10160,13.727,100.450
กรุงเทพมหานคร,ภาษีเจริญ,บางแวก,10160,13.736,100.445
กรุงเทพมหานคร,ภาษีเจริญ,คลองขวาง,10160,13.738,100.423
กรุงเทพมหานคร,ภาษีเจริญ,ปากคลองภาษีเจริญ,10160,13.722,100.464
กรุงเทพมหานคร,ภาษีเจริญ,คูหาสวรรค์,10160,13.727,100.457
กรุงเทพมหานคร,หนองแขม,หนองแขม,10160,13.680,100.358
กรุงเทพมหานคร,หนองแขม,หนองค้างพลู,10160,13.714,100.351
กรุงเทพมหานคร,ราษฎร์บูรณะ,ราษฎร์บูรณะ,10140,13.670,100.510
กรุงเทพมหานคร,ราษฎร์บูรณะ,บางปะกอก,10140,13.675,100.491
กรุงเทพมหานคร,บางพลัด,บางพลัด,10700,13.791,100.487
